133.4315361023/38.15780083827,133.435080719/38.15780083827,133.4386253357/38.15780083827,133.4421699524/38.15780083827,133.4457145691/38.15780083827,133.4492591858/38.15780083827,133.4528038025/38.15780083827,133.4563484192/38.15780083827,133.4598930359/38.15780083827,133.4634376526/38.15780083827,133.4669822693/38.15780083827,133.470526886/38.15780083827,133.4740715027/38.15780083827,133.4776161194/38.15780083827,133.4811607361/38.15780083827,133.4847053528/38.15780083827,133.4882499695/38.15780083827,133.4917945862/38.15780083827,133.4953392029/38.15780083827,133.4988838196/38.15780083827,133.5024284363/38.15780083827,133.505973053/38.15780083827,133.5095176697/38.15780083827,133.5130622864/38.15780083827,133.5166069031/38.15780083827,133.5201515198/38.15780083827,133.5236961365/38.15780083827,133.5272407532/38.15780083827,133.5307853699/38.15780083827,133.5343299866/38.15780083827,133.5378746033/38.15780083827,133.54141922/38.15780083827,133.5449638367/38.15780083827,133.5485084534/38.15780083827,133.5520530701/38.15780083827,133.5555976868/38.15780083827,133.5591423035/38.15780083827,133.5626869202/38.15780083827,133.5662315369/38.15780083827,133.5697761536/38.15780083827,133.5733207703/38.15780083827,133.576865387/38.15780083827,133.5804100037/38.15780083827,133.5839546204/38.15780083827,133.5874992371/38.15780083827,133.5910438538/38.15780083827,133.5945884705/38.15780083827,133.5981330872/38.15780083827,133.6016777039/38.15780083827,133.6052223206/38.15780083827,133.6087669373/38.15780083827,133.612311554/38.15780083827,133.6158561707/38.15780083827,133.6194007874/38.15780083827,133.6229454041/38.15780083827,133.6264900208/38.15780083827,133.6300346375/38.15780083827,133.6335792542/38.15780083827,133.6371238708/38.15780083827,133.6406684875/38.15780083827
133.4315361023/38.18461279409,133.435080719/38.18461279409,133.4386253357/38.18461279409,133.4421699524/38.18461279409,133.4457145691/38.18461279409,133.4492591858/38.18461279409,133.4528038025/38.18461279409,133.4563484192/38.18461279409,133.4598930359/38.18461279409,133.4634376526/38.18461279409,133.4669822693/38.18461279409,133.470526886/38.18461279409,133.4740715027/38.18461279409,133.4776161194/38.18461279409,133.4811607361/38.18461279409,133.4847053528/38.18461279409,133.4882499695/38.18461279409,133.4917945862/38.18461279409,133.4953392029/38.18461279409,133.4988838196/38.18461279409,133.5024284363/38.18461279409,133.505973053/38.18461279409,133.5095176697/38.18461279409,133.5130622864/38.18461279409,133.5166069031/38.18461279409,133.5201515198/38.18461279409,133.5236961365/38.18461279409,133.5272407532/38.18461279409,133.5307853699/38.18461279409,133.5343299866/38.18461279409,133.5378746033/38.18461279409,133.54141922/38.18461279409,133.5449638367/38.18461279409,133.5485084534/38.18461279409,133.5520530701/38.18461279409,133.5555976868/38.18461279409,133.5591423035/38.18461279409,133.5626869202/38.18461279409,133.5662315369/38.18461279409,133.5697761536/38.18461279409,133.5733207703/38.18461279409,133.576865387/38.18461279409,133.5804100037/38.18461279409,133.5839546204/38.18461279409,133.5874992371/38.18461279409,133.5910438538/38.18461279409,133.5945884705/38.18461279409,133.5981330872/38.18461279409,133.6016777039/38.18461279409,133.6052223206/38.18461279409,133.6087669373/38.18461279409,133.612311554/38.18461279409,133.6158561707/38.18461279409,133.6194007874/38.18461279409,133.6229454041/38.18461279409,133.6264900208/38.18461279409,133.6300346375/38.18461279409,133.6335792542/38.18461279409,133.6371238708/38.18461279409,133.6406684875/38.18461279409
133.4315361023/38.18704975551,133.435080719/38.18704975551,133.4386253357/38.18704975551,133.4421699524/38.18704975551,133.4457145691/38.18704975551,133.4492591858/38.18704975551,133.4528038025/38.18704975551,133.4563484192/38.18704975551,133.4598930359/38.18704975551,133.4634376526/38.18704975551,133.4669822693/38.18704975551,133.470526886/38.18704975551,133.4740715027/38.18704975551,133.4776161194/38.18704975551,133.4811607361/38.18704975551,133.4847053528/38.18704975551,133.4882499695/38.18704975551,133.4917945862/38.18704975551,133.4953392029/38.18704975551,133.4988838196/38.18704975551,133.5024284363/38.18704975551,133.505973053/38.18704975551,133.5095176697/38.18704975551,133.5130622864/38.18704975551,133.5166069031/38.18704975551,133.5201515198/38.18704975551,133.5236961365/38.18704975551,133.5272407532/38.18704975551,133.5307853699/38.18704975551,133.5343299866/38.18704975551,133.5378746033/38.18704975551,133.54141922/38.18704975551,133.5449638367/38.18704975551,133.5485084534/38.18704975551,133.5520530701/38.18704975551,133.5555976868/38.18704975551,133.5591423035/38.18704975551,133.5626869202/38.18704975551,133.5662315369/38.18704975551,133.5697761536/38.18704975551,133.5733207703/38.18704975551,133.576865387/38.18704975551,133.5804100037/38.18704975551,133.5839546204/38.18704975551,133.5874992371/38.18704975551,133.5910438538/38.18704975551,133.5945884705/38.18704975551,133.5981330872/38.18704975551,133.6016777039/38.18704975551,133.6052223206/38.18704975551,133.6087669373/38.18704975551,133.612311554/38.18704975551,133.6158561707/38.18704975551,133.6194007874/38.18704975551,133.6229454041/38.18704975551,133.6264900208/38.18704975551,133.6300346375/38.18704975551,133.6335792542/38.18704975551,133.6371238708/38.18704975551,133.6406684875/38.18704975551
133.4315361023/38.18948663541,133.435080719/38.18948663541,133.4386253357/38.18948663541,133.4421699524/38.18948663541,133.4457145691/38.18948663541,133.4492591858/38.18948663541,133.4528038025/38.18948663541,133.4563484192/38.18948663541,133.4598930359/38.18948663541,133.4634376526/38.18948663541,133.4669822693/38.18948663541,133.470526886/38.18948663541,133.4740715027/38.18948663541,133.4776161194/38.18948663541,133.4811607361/38.18948663541,133.4847053528/38.18948663541,133.4882499695/38.18948663541,133.4917945862/38.18948663541,133.4953392029/38.18948663541,133.4988838196/38.18948663541,133.5024284363/38.18948663541,133.505973053/38.18948663541,133.5095176697/38.18948663541,133.5130622864/38.18948663541,133.5166069031/38.18948663541,133.5201515198/38.18948663541,133.5236961365/38.18948663541,133.5272407532/38.18948663541,133.5307853699/38.18948663541,133.5343299866/38.18948663541,133.5378746033/38.18948663541,133.54141922/38.18948663541,133.5449638367/38.18948663541,133.5485084534/38.18948663541,133.5520530701/38.18948663541,133.5555976868/38.18948663541,133.5591423035/38.18948663541,133.5626869202/38.18948663541,133.5662315369/38.18948663541,133.5697761536/38.18948663541,133.5733207703/38.18948663541,133.576865387/38.18948663541,133.5804100037/38.18948663541,133.5839546204/38.18948663541,133.5874992371/38.18948663541,133.5910438538/38.18948663541,133.5945884705/38.18948663541,133.5981330872/38.18948663541,133.6016777039/38.18948663541,133.6052223206/38.18948663541,133.6087669373/38.18948663541,133.612311554/38.18948663541,133.6158561707/38.18948663541,133.6194007874/38.18948663541,133.6229454041/38.18948663541,133.6264900208/38.18948663541,133.6300346375/38.18948663541,133.6335792542/38.18948663541,133.6371238708/38.18948663541,133.6406684875/38.18948663541
133.4315361023/38.19192343378,133.435080719/38.19192343378,133.4386253357/38.19192343378,133.4421699524/38.19192343378,133.4457145691/38.19192343378,133.4492591858/38.19192343378,133.4528038025/38.19192343378,133.4563484192/38.19192343378,133.4598930359/38.19192343378,133.4634376526/38.19192343378,133.4669822693/38.19192343378,133.470526886/38.19192343378,133.4740715027/38.19192343378,133.4776161194/38.19192343378,133.4811607361/38.19192343378,133.4847053528/38.19192343378,133.4882499695/38.19192343378,133.4917945862/38.19192343378,133.4953392029/38.19192343378,133.4988838196/38.19192343378,133.5024284363/38.19192343378,133.505973053/38.19192343378,133.5095176697/38.19192343378,133.5130622864/38.19192343378,133.5166069031/38.19192343378,133.5201515198/38.19192343378,133.5236961365/38.19192343378,133.5272407532/38.19192343378,133.5307853699/38.19192343378,133.5343299866/38.19192343378,133.5378746033/38.19192343378,133.54141922/38.19192343378,133.5449638367/38.19192343378,133.5485084534/38.19192343378,133.5520530701/38.19192343378,133.5555976868/38.19192343378,133.5591423035/38.19192343378,133.5626869202/38.19192343378,133.5662315369/38.19192343378,133.5697761536/38.19192343378,133.5733207703/38.19192343378,133.576865387/38.19192343378,133.5804100037/38.19192343378,133.5839546204/38.19192343378,133.5874992371/38.19192343378,133.5910438538/38.19192343378,133.5945884705/38.19192343378,133.5981330872/38.19192343378,133.6016777039/38.19192343378,133.6052223206/38.19192343378,133.6087669373/38.19192343378,133.612311554/38.19192343378,133.6158561707/38.19192343378,133.6194007874/38.19192343378,133.6229454041/38.19192343378,133.6264900208/38.19192343378,133.6300346375/38.19192343378,133.6335792542/38.19192343378,133.6371238708/38.19192343378,133.6406684875/38.19192343378
133.4315361023/38.19436015063,133.435080719/38.19436015063,133.4386253357/38.19436015063,133.4421699524/38.19436015063,133.4457145691/38.19436015063,133.4492591858/38.19436015063,133.4528038025/38.19436015063,133.4563484192/38.19436015063,133.4598930359/38.19436015063,133.4634376526/38.19436015063,133.4669822693/38.19436015063,133.470526886/38.19436015063,133.4740715027/38.19436015063,133.4776161194/38.19436015063,133.4811607361/38.19436015063,133.4847053528/38.19436015063,133.4882499695/38.19436015063,133.4917945862/38.19436015063,133.4953392029/38.19436015063,133.4988838196/38.19436015063,133.5024284363/38.19436015063,133.505973053/38.19436015063,133.5095176697/38.19436015063,133.5130622864/38.19436015063,133.5166069031/38.19436015063,133.5201515198/38.19436015063,133.5236961365/38.19436015063,133.5272407532/38.19436015063,133.5307853699/38.19436015063,133.5343299866/38.19436015063,133.5378746033/38.19436015063,133.54141922/38.19436015063,133.5449638367/38.19436015063,133.5485084534/38.19436015063,133.5520530701/38.19436015063,133.5555976868/38.19436015063,133.5591423035/38.19436015063,133.5626869202/38.19436015063,133.5662315369/38.19436015063,133.5697761536/38.19436015063,133.5733207703/38.19436015063,133.576865387/38.19436015063,133.5804100037/38.19436015063,133.5839546204/38.19436015063,133.5874992371/38.19436015063,133.5910438538/38.19436015063,133.5945884705/38.19436015063,133.5981330872/38.19436015063,133.6016777039/38.19436015063,133.6052223206/38.19436015063,133.6087669373/38.19436015063,133.612311554/38.19436015063,133.6158561707/38.19436015063,133.6194007874/38.19436015063,133.6229454041/38.19436015063,133.6264900208/38.19436015063,133.6300346375/38.19436015063,133.6335792542/38.19436015063,133.6371238708/38.19436015063,133.6406684875/38.19436015063
133.4315361023/38.19679678594,133.435080719/38.19679678594,133.4386253357/38.19679678594,133.4421699524/38.19679678594,133.4457145691/38.19679678594,133.4492591858/38.19679678594,133.4528038025/38.19679678594,133.4563484192/38.19679678594,133.4598930359/38.19679678594,133.4634376526/38.19679678594,133.4669822693/38.19679678594,133.470526886/38.19679678594,133.4740715027/38.19679678594,133.4776161194/38.19679678594,133.4811607361/38.19679678594,133.4847053528/38.19679678594,133.4882499695/38.19679678594,133.4917945862/38.19679678594,133.4953392029/38.19679678594,133.4988838196/38.19679678594,133.5024284363/38.19679678594,133.505973053/38.19679678594,133.5095176697/38.19679678594,133.5130622864/38.19679678594,133.5166069031/38.19679678594,133.5201515198/38.19679678594,133.5236961365/38.19679678594,133.5272407532/38.19679678594,133.5307853699/38.19679678594,133.5343299866/38.19679678594,133.5378746033/38.19679678594,133.54141922/38.19679678594,133.5449638367/38.19679678594,133.5485084534/38.19679678594,133.5520530701/38.19679678594,133.5555976868/38.19679678594,133.5591423035/38.19679678594,133.5626869202/38.19679678594,133.5662315369/38.19679678594,133.5697761536/38.19679678594,133.5733207703/38.19679678594,133.576865387/38.19679678594,133.5804100037/38.19679678594,133.5839546204/38.19679678594,133.5874992371/38.19679678594,133.5910438538/38.19679678594,133.5945884705/38.19679678594,133.5981330872/38.19679678594,133.6016777039/38.19679678594,133.6052223206/38.19679678594,133.6087669373/38.19679678594,133.612311554/38.19679678594,133.6158561707/38.19679678594,133.6194007874/38.19679678594,133.6229454041/38.19679678594,133.6264900208/38.19679678594,133.6300346375/38.19679678594,133.6335792542/38.19679678594,133.6371238708/38.19679678594,133.6406684875/38.19679678594
133.4315361023/38.19923333972,133.435080719/38.19923333972,133.4386253357/38.19923333972,133.4421699524/38.19923333972,133.4457145691/38.19923333972,133.4492591858/38.19923333972,133.4528038025/38.19923333972,133.4563484192/38.19923333972,133.4598930359/38.19923333972,133.4634376526/38.19923333972,133.4669822693/38.19923333972,133.470526886/38.19923333972,133.4740715027/38.19923333972,133.4776161194/38.19923333972,133.4811607361/38.19923333972,133.4847053528/38.19923333972,133.4882499695/38.19923333972,133.4917945862/38.19923333972,133.4953392029/38.19923333972,133.4988838196/38.19923333972,133.5024284363/38.19923333972,133.505973053/38.19923333972,133.5095176697/38.19923333972,133.5130622864/38.19923333972,133.5166069031/38.19923333972,133.5201515198/38.19923333972,133.5236961365/38.19923333972,133.5272407532/38.19923333972,133.5307853699/38.19923333972,133.5343299866/38.19923333972,133.5378746033/38.19923333972,133.54141922/38.19923333972,133.5449638367/38.19923333972,133.5485084534/38.19923333972,133.5520530701/38.19923333972,133.5555976868/38.19923333972,133.5591423035/38.19923333972,133.5626869202/38.19923333972,133.5662315369/38.19923333972,133.5697761536/38.19923333972,133.5733207703/38.19923333972,133.576865387/38.19923333972,133.5804100037/38.19923333972,133.5839546204/38.19923333972,133.5874992371/38.19923333972,133.5910438538/38.19923333972,133.5945884705/38.19923333972,133.5981330872/38.19923333972,133.6016777039/38.19923333972,133.6052223206/38.19923333972,133.6087669373/38.19923333972,133.612311554/38.19923333972,133.6158561707/38.19923333972,133.6194007874/38.19923333972,133.6229454041/38.19923333972,133.6264900208/38.19923333972,133.6300346375/38.19923333972,133.6335792542/38.19923333972,133.6371238708/38.19923333972,133.6406684875/38.19923333972
133.4315361023/38.20166981197,133.435080719/38.20166981197,133.4386253357/38.20166981197,133.4421699524/38.20166981197,133.4457145691/38.20166981197,133.4492591858/38.20166981197,133.4528038025/38.20166981197,133.4563484192/38.20166981197,133.4598930359/38.20166981197,133.4634376526/38.20166981197,133.4669822693/38.20166981197,133.470526886/38.20166981197,133.4740715027/38.20166981197,133.4776161194/38.20166981197,133.4811607361/38.20166981197,133.4847053528/38.20166981197,133.4882499695/38.20166981197,133.4917945862/38.20166981197,133.4953392029/38.20166981197,133.4988838196/38.20166981197,133.5024284363/38.20166981197,133.505973053/38.20166981197,133.5095176697/38.20166981197,133.5130622864/38.20166981197,133.5166069031/38.20166981197,133.5201515198/38.20166981197,133.5236961365/38.20166981197,133.5272407532/38.20166981197,133.5307853699/38.20166981197,133.5343299866/38.20166981197,133.5378746033/38.20166981197,133.54141922/38.20166981197,133.5449638367/38.20166981197,133.5485084534/38.20166981197,133.5520530701/38.20166981197,133.5555976868/38.20166981197,133.5591423035/38.20166981197,133.5626869202/38.20166981197,133.5662315369/38.20166981197,133.5697761536/38.20166981197,133.5733207703/38.20166981197,133.576865387/38.20166981197,133.5804100037/38.20166981197,133.5839546204/38.20166981197,133.5874992371/38.20166981197,133.5910438538/38.20166981197,133.5945884705/38.20166981197,133.5981330872/38.20166981197,133.6016777039/38.20166981197,133.6052223206/38.20166981197,133.6087669373/38.20166981197,133.612311554/38.20166981197,133.6158561707/38.20166981197,133.6194007874/38.20166981197,133.6229454041/38.20166981197,133.6264900208/38.20166981197,133.6300346375/38.20166981197,133.6335792542/38.20166981197,133.6371238708/38.20166981197,133.6406684875/38.20166981197
133.4315361023/38.20410620269,133.435080719/38.20410620269,133.4386253357/38.20410620269,133.4421699524/38.20410620269,133.4457145691/38.20410620269,133.4492591858/38.20410620269,133.4528038025/38.20410620269,133.4563484192/38.20410620269,133.4598930359/38.20410620269,133.4634376526/38.20410620269,133.4669822693/38.20410620269,133.470526886/38.20410620269,133.4740715027/38.20410620269,133.4776161194/38.20410620269,133.4811607361/38.20410620269,133.4847053528/38.20410620269,133.4882499695/38.20410620269,133.4917945862/38.20410620269,133.4953392029/38.20410620269,133.4988838196/38.20410620269,133.5024284363/38.20410620269,133.505973053/38.20410620269,133.5095176697/38.20410620269,133.5130622864/38.20410620269,133.5166069031/38.20410620269,133.5201515198/38.20410620269,133.5236961365/38.20410620269,133.5272407532/38.20410620269,133.5307853699/38.20410620269,133.5343299866/38.20410620269,133.5378746033/38.20410620269,133.54141922/38.20410620269,133.5449638367/38.20410620269,133.5485084534/38.20410620269,133.5520530701/38.20410620269,133.5555976868/38.20410620269,133.5591423035/38.20410620269,133.5626869202/38.20410620269,133.5662315369/38.20410620269,133.5697761536/38.20410620269,133.5733207703/38.20410620269,133.576865387/38.20410620269,133.5804100037/38.20410620269,133.5839546204/38.20410620269,133.5874992371/38.20410620269,133.5910438538/38.20410620269,133.5945884705/38.20410620269,133.5981330872/38.20410620269,133.6016777039/38.20410620269,133.6052223206/38.20410620269,133.6087669373/38.20410620269,133.612311554/38.20410620269,133.6158561707/38.20410620269,133.6194007874/38.20410620269,133.6229454041/38.20410620269,133.6264900208/38.20410620269,133.6300346375/38.20410620269,133.6335792542/38.20410620269,133.6371238708/38.20410620269,133.6406684875/38.20410620269
133.4315361023/38.20654251187,133.435080719/38.20654251187,133.4386253357/38.20654251187,133.4421699524/38.20654251187,133.4457145691/38.20654251187,133.4492591858/38.20654251187,133.4528038025/38.20654251187,133.4563484192/38.20654251187,133.4598930359/38.20654251187,133.4634376526/38.20654251187,133.4669822693/38.20654251187,133.470526886/38.20654251187,133.4740715027/38.20654251187,133.4776161194/38.20654251187,133.4811607361/38.20654251187,133.4847053528/38.20654251187,133.4882499695/38.20654251187,133.4917945862/38.20654251187,133.4953392029/38.20654251187,133.4988838196/38.20654251187,133.5024284363/38.20654251187,133.505973053/38.20654251187,133.5095176697/38.20654251187,133.5130622864/38.20654251187,133.5166069031/38.20654251187,133.5201515198/38.20654251187,133.5236961365/38.20654251187,133.5272407532/38.20654251187,133.5307853699/38.20654251187,133.5343299866/38.20654251187,133.5378746033/38.20654251187,133.54141922/38.20654251187,133.5449638367/38.20654251187,133.5485084534/38.20654251187,133.5520530701/38.20654251187,133.5555976868/38.20654251187,133.5591423035/38.20654251187,133.5626869202/38.20654251187,133.5662315369/38.20654251187,133.5697761536/38.20654251187,133.5733207703/38.20654251187,133.576865387/38.20654251187,133.5804100037/38.20654251187,133.5839546204/38.20654251187,133.5874992371/38.20654251187,133.5910438538/38.20654251187,133.5945884705/38.20654251187,133.5981330872/38.20654251187,133.6016777039/38.20654251187,133.6052223206/38.20654251187,133.6087669373/38.20654251187,133.612311554/38.20654251187,133.6158561707/38.20654251187,133.6194007874/38.20654251187,133.6229454041/38.20654251187,133.6264900208/38.20654251187,133.6300346375/38.20654251187,133.6335792542/38.20654251187,133.6371238708/38.20654251187,133.6406684875/38.20654251187
133.4315361023/38.20897873951,133.435080719/38.20897873951,133.4386253357/38.20897873951,133.4421699524/38.20897873951,133.4457145691/38.20897873951,133.4492591858/38.20897873951,133.4528038025/38.20897873951,133.4563484192/38.20897873951,133.4598930359/38.20897873951,133.4634376526/38.20897873951,133.4669822693/38.20897873951,133.470526886/38.20897873951,133.4740715027/38.20897873951,133.4776161194/38.20897873951,133.4811607361/38.20897873951,133.4847053528/38.20897873951,133.4882499695/38.20897873951,133.4917945862/38.20897873951,133.4953392029/38.20897873951,133.4988838196/38.20897873951,133.5024284363/38.20897873951,133.505973053/38.20897873951,133.5095176697/38.20897873951,133.5130622864/38.20897873951,133.5166069031/38.20897873951,133.5201515198/38.20897873951,133.5236961365/38.20897873951,133.5272407532/38.20897873951,133.5307853699/38.20897873951,133.5343299866/38.20897873951,133.5378746033/38.20897873951,133.54141922/38.20897873951,133.5449638367/38.20897873951,133.5485084534/38.20897873951,133.5520530701/38.20897873951,133.5555976868/38.20897873951,133.5591423035/38.20897873951,133.5626869202/38.20897873951,133.5662315369/38.20897873951,133.5697761536/38.20897873951,133.5733207703/38.20897873951,133.576865387/38.20897873951,133.5804100037/38.20897873951,133.5839546204/38.20897873951,133.5874992371/38.20897873951,133.5910438538/38.20897873951,133.5945884705/38.20897873951,133.5981330872/38.20897873951,133.6016777039/38.20897873951,133.6052223206/38.20897873951,133.6087669373/38.20897873951,133.612311554/38.20897873951,133.6158561707/38.20897873951,133.6194007874/38.20897873951,133.6229454041/38.20897873951,133.6264900208/38.20897873951,133.6300346375/38.20897873951,133.6335792542/38.20897873951,133.6371238708/38.20897873951,133.6406684875/38.20897873951
133.4315361023/38.21141488561,133.435080719/38.21141488561,133.4386253357/38.21141488561,133.4421699524/38.21141488561,133.4457145691/38.21141488561,133.4492591858/38.21141488561,133.4528038025/38.21141488561,133.4563484192/38.21141488561,133.4598930359/38.21141488561,133.4634376526/38.21141488561,133.4669822693/38.21141488561,133.470526886/38.21141488561,133.4740715027/38.21141488561,133.4776161194/38.21141488561,133.4811607361/38.21141488561,133.4847053528/38.21141488561,133.4882499695/38.21141488561,133.4917945862/38.21141488561,133.4953392029/38.21141488561,133.4988838196/38.21141488561,133.5024284363/38.21141488561,133.505973053/38.21141488561,133.5095176697/38.21141488561,133.5130622864/38.21141488561,133.5166069031/38.21141488561,133.5201515198/38.21141488561,133.5236961365/38.21141488561,133.5272407532/38.21141488561,133.5307853699/38.21141488561,133.5343299866/38.21141488561,133.5378746033/38.21141488561,133.54141922/38.21141488561,133.5449638367/38.21141488561,133.5485084534/38.21141488561,133.5520530701/38.21141488561,133.5555976868/38.21141488561,133.5591423035/38.21141488561,133.5626869202/38.21141488561,133.5662315369/38.21141488561,133.5697761536/38.21141488561,133.5733207703/38.21141488561,133.576865387/38.21141488561,133.5804100037/38.21141488561,133.5839546204/38.21141488561,133.5874992371/38.21141488561,133.5910438538/38.21141488561,133.5945884705/38.21141488561,133.5981330872/38.21141488561,133.6016777039/38.21141488561,133.6052223206/38.21141488561,133.6087669373/38.21141488561,133.612311554/38.21141488561,133.6158561707/38.21141488561,133.6194007874/38.21141488561,133.6229454041/38.21141488561,133.6264900208/38.21141488561,133.6300346375/38.21141488561,133.6335792542/38.21141488561,133.6371238708/38.21141488561,133.6406684875/38.21141488561
133.4315361023/38.21385095016,133.435080719/38.21385095016,133.4386253357/38.21385095016,133.4421699524/38.21385095016,133.4457145691/38.21385095016,133.4492591858/38.21385095016,133.4528038025/38.21385095016,133.4563484192/38.21385095016,133.4598930359/38.21385095016,133.4634376526/38.21385095016,133.4669822693/38.21385095016,133.470526886/38.21385095016,133.4740715027/38.21385095016,133.4776161194/38.21385095016,133.4811607361/38.21385095016,133.4847053528/38.21385095016,133.4882499695/38.21385095016,133.4917945862/38.21385095016,133.4953392029/38.21385095016,133.4988838196/38.21385095016,133.5024284363/38.21385095016,133.505973053/38.21385095016,133.5095176697/38.21385095016,133.5130622864/38.21385095016,133.5166069031/38.21385095016,133.5201515198/38.21385095016,133.5236961365/38.21385095016,133.5272407532/38.21385095016,133.5307853699/38.21385095016,133.5343299866/38.21385095016,133.5378746033/38.21385095016,133.54141922/38.21385095016,133.5449638367/38.21385095016,133.5485084534/38.21385095016,133.5520530701/38.21385095016,133.5555976868/38.21385095016,133.5591423035/38.21385095016,133.5626869202/38.21385095016,133.5662315369/38.21385095016,133.5697761536/38.21385095016,133.5733207703/38.21385095016,133.576865387/38.21385095016,133.5804100037/38.21385095016,133.5839546204/38.21385095016,133.5874992371/38.21385095016,133.5910438538/38.21385095016,133.5945884705/38.21385095016,133.5981330872/38.21385095016,133.6016777039/38.21385095016,133.6052223206/38.21385095016,133.6087669373/38.21385095016,133.612311554/38.21385095016,133.6158561707/38.21385095016,133.6194007874/38.21385095016,133.6229454041/38.21385095016,133.6264900208/38.21385095016,133.6300346375/38.21385095016,133.6335792542/38.21385095016,133.6371238708/38.21385095016,133.6406684875/38.21385095016
133.4315361023/38.21628693318,133.435080719/38.21628693318,133.4386253357/38.21628693318,133.4421699524/38.21628693318,133.4457145691/38.21628693318,133.4492591858/38.21628693318,133.4528038025/38.21628693318,133.4563484192/38.21628693318,133.4598930359/38.21628693318,133.4634376526/38.21628693318,133.4669822693/38.21628693318,133.470526886/38.21628693318,133.4740715027/38.21628693318,133.4776161194/38.21628693318,133.4811607361/38.21628693318,133.4847053528/38.21628693318,133.4882499695/38.21628693318,133.4917945862/38.21628693318,133.4953392029/38.21628693318,133.4988838196/38.21628693318,133.5024284363/38.21628693318,133.505973053/38.21628693318,133.5095176697/38.21628693318,133.5130622864/38.21628693318,133.5166069031/38.21628693318,133.5201515198/38.21628693318,133.5236961365/38.21628693318,133.5272407532/38.21628693318,133.5307853699/38.21628693318,133.5343299866/38.21628693318,133.5378746033/38.21628693318,133.54141922/38.21628693318,133.5449638367/38.21628693318,133.5485084534/38.21628693318,133.5520530701/38.21628693318,133.5555976868/38.21628693318,133.5591423035/38.21628693318,133.5626869202/38.21628693318,133.5662315369/38.21628693318,133.5697761536/38.21628693318,133.5733207703/38.21628693318,133.576865387/38.21628693318,133.5804100037/38.21628693318,133.5839546204/38.21628693318,133.5874992371/38.21628693318,133.5910438538/38.21628693318,133.5945884705/38.21628693318,133.5981330872/38.21628693318,133.6016777039/38.21628693318,133.6052223206/38.21628693318,133.6087669373/38.21628693318,133.612311554/38.21628693318,133.6158561707/38.21628693318,133.6194007874/38.21628693318,133.6229454041/38.21628693318,133.6264900208/38.21628693318,133.6300346375/38.21628693318,133.6335792542/38.21628693318,133.6371238708/38.21628693318,133.6406684875/38.21628693318
133.4315361023/38.21872283465,133.435080719/38.21872283465,133.4386253357/38.21872283465,133.4421699524/38.21872283465,133.4457145691/38.21872283465,133.4492591858/38.21872283465,133.4528038025/38.21872283465,133.4563484192/38.21872283465,133.4598930359/38.21872283465,133.4634376526/38.21872283465,133.4669822693/38.21872283465,133.470526886/38.21872283465,133.4740715027/38.21872283465,133.4776161194/38.21872283465,133.4811607361/38.21872283465,133.4847053528/38.21872283465,133.4882499695/38.21872283465,133.4917945862/38.21872283465,133.4953392029/38.21872283465,133.4988838196/38.21872283465,133.5024284363/38.21872283465,133.505973053/38.21872283465,133.5095176697/38.21872283465,133.5130622864/38.21872283465,133.5166069031/38.21872283465,133.5201515198/38.21872283465,133.5236961365/38.21872283465,133.5272407532/38.21872283465,133.5307853699/38.21872283465,133.5343299866/38.21872283465,133.5378746033/38.21872283465,133.54141922/38.21872283465,133.5449638367/38.21872283465,133.5485084534/38.21872283465,133.5520530701/38.21872283465,133.5555976868/38.21872283465,133.5591423035/38.21872283465,133.5626869202/38.21872283465,133.5662315369/38.21872283465,133.5697761536/38.21872283465,133.5733207703/38.21872283465,133.576865387/38.21872283465,133.5804100037/38.21872283465,133.5839546204/38.21872283465,133.5874992371/38.21872283465,133.5910438538/38.21872283465,133.5945884705/38.21872283465,133.5981330872/38.21872283465,133.6016777039/38.21872283465,133.6052223206/38.21872283465,133.6087669373/38.21872283465,133.612311554/38.21872283465,133.6158561707/38.21872283465,133.6194007874/38.21872283465,133.6229454041/38.21872283465,133.6264900208/38.21872283465,133.6300346375/38.21872283465,133.6335792542/38.21872283465,133.6371238708/38.21872283465,133.6406684875/38.21872283465
