133.4492784119/38.16942005298,133.4529988098/38.16942005298,133.4567192078/38.16942005298,133.4604396057/38.16942005298,133.4641600037/38.16942005298,133.4678804016/38.16942005298,133.4716007996/38.16942005298,133.4753211975/38.16942005298,133.4790415955/38.16942005298,133.4827619934/38.16942005298,133.4864823914/38.16942005298,133.4902027893/38.16942005298,133.4939231873/38.16942005298,133.4976435852/38.16942005298,133.5013639832/38.16942005298,133.5050843811/38.16942005298,133.5088047791/38.16942005298,133.512525177/38.16942005298,133.516245575/38.16942005298,133.5199659729/38.16942005298,133.5236863708/38.16942005298,133.5274067688/38.16942005298,133.5311271667/38.16942005298,133.5348475647/38.16942005298,133.5385679626/38.16942005298,133.5422883606/38.16942005298,133.5460087585/38.16942005298,133.5497291565/38.16942005298,133.5534495544/38.16942005298,133.5571699524/38.16942005298,133.5608903503/38.16942005298,133.5646107483/38.16942005298,133.5683311462/38.16942005298,133.5720515442/38.16942005298,133.5757719421/38.16942005298,133.5794923401/38.16942005298,133.583212738/38.16942005298,133.586933136/38.16942005298,133.5906535339/38.16942005298,133.5943739319/38.16942005298,133.5980943298/38.16942005298,133.6018147278/38.16942005298,133.6055351257/38.16942005298,133.6092555237/38.16942005298,133.6129759216/38.16942005298,133.6166963196/38.16942005298,133.6204167175/38.16942005298,133.6241371155/38.16942005298,133.6278575134/38.16942005298,133.6315779114/38.16942005298
133.4492784119/38.19798593014,133.4529988098/38.19798593014,133.4567192078/38.19798593014,133.4604396057/38.19798593014,133.4641600037/38.19798593014,133.4678804016/38.19798593014,133.4716007996/38.19798593014,133.4753211975/38.19798593014,133.4790415955/38.19798593014,133.4827619934/38.19798593014,133.4864823914/38.19798593014,133.4902027893/38.19798593014,133.4939231873/38.19798593014,133.4976435852/38.19798593014,133.5013639832/38.19798593014,133.5050843811/38.19798593014,133.5088047791/38.19798593014,133.512525177/38.19798593014,133.516245575/38.19798593014,133.5199659729/38.19798593014,133.5236863708/38.19798593014,133.5274067688/38.19798593014,133.5311271667/38.19798593014,133.5348475647/38.19798593014,133.5385679626/38.19798593014,133.5422883606/38.19798593014,133.5460087585/38.19798593014,133.5497291565/38.19798593014,133.5534495544/38.19798593014,133.5571699524/38.19798593014,133.5608903503/38.19798593014,133.5646107483/38.19798593014,133.5683311462/38.19798593014,133.5720515442/38.19798593014,133.5757719421/38.19798593014,133.5794923401/38.19798593014,133.583212738/38.19798593014,133.586933136/38.19798593014,133.5906535339/38.19798593014,133.5943739319/38.19798593014,133.5980943298/38.19798593014,133.6018147278/38.19798593014,133.6055351257/38.19798593014,133.6092555237/38.19798593014,133.6129759216/38.19798593014,133.6166963196/38.19798593014,133.6204167175/38.19798593014,133.6241371155/38.19798593014,133.6278575134/38.19798593014,133.6315779114/38.19798593014
133.4492784119/38.20058227263,133.4529988098/38.20058227263,133.4567192078/38.20058227263,133.4604396057/38.20058227263,133.4641600037/38.20058227263,133.4678804016/38.20058227263,133.4716007996/38.20058227263,133.4753211975/38.20058227263,133.4790415955/38.20058227263,133.4827619934/38.20058227263,133.4864823914/38.20058227263,133.4902027893/38.20058227263,133.4939231873/38.20058227263,133.4976435852/38.20058227263,133.5013639832/38.20058227263,133.5050843811/38.20058227263,133.5088047791/38.20058227263,133.512525177/38.20058227263,133.516245575/38.20058227263,133.5199659729/38.20058227263,133.5236863708/38.20058227263,133.5274067688/38.20058227263,133.5311271667/38.20058227263,133.5348475647/38.20058227263,133.5385679626/38.20058227263,133.5422883606/38.20058227263,133.5460087585/38.20058227263,133.5497291565/38.20058227263,133.5534495544/38.20058227263,133.5571699524/38.20058227263,133.5608903503/38.20058227263,133.5646107483/38.20058227263,133.5683311462/38.20058227263,133.5720515442/38.20058227263,133.5757719421/38.20058227263,133.5794923401/38.20058227263,133.583212738/38.20058227263,133.586933136/38.20058227263,133.5906535339/38.20058227263,133.5943739319/38.20058227263,133.5980943298/38.20058227263,133.6018147278/38.20058227263,133.6055351257/38.20058227263,133.6092555237/38.20058227263,133.6129759216/38.20058227263,133.6166963196/38.20058227263,133.6204167175/38.20058227263,133.6241371155/38.20058227263,133.6278575134/38.20058227263,133.6315779114/38.20058227263
133.4492784119/38.20317852253,133.4529988098/38.20317852253,133.4567192078/38.20317852253,133.4604396057/38.20317852253,133.4641600037/38.20317852253,133.4678804016/38.20317852253,133.4716007996/38.20317852253,133.4753211975/38.20317852253,133.4790415955/38.20317852253,133.4827619934/38.20317852253,133.4864823914/38.20317852253,133.4902027893/38.20317852253,133.4939231873/38.20317852253,133.4976435852/38.20317852253,133.5013639832/38.20317852253,133.5050843811/38.20317852253,133.5088047791/38.20317852253,133.512525177/38.20317852253,133.516245575/38.20317852253,133.5199659729/38.20317852253,133.5236863708/38.20317852253,133.5274067688/38.20317852253,133.5311271667/38.20317852253,133.5348475647/38.20317852253,133.5385679626/38.20317852253,133.5422883606/38.20317852253,133.5460087585/38.20317852253,133.5497291565/38.20317852253,133.5534495544/38.20317852253,133.5571699524/38.20317852253,133.5608903503/38.20317852253,133.5646107483/38.20317852253,133.5683311462/38.20317852253,133.5720515442/38.20317852253,133.5757719421/38.20317852253,133.5794923401/38.20317852253,133.583212738/38.20317852253,133.586933136/38.20317852253,133.5906535339/38.20317852253,133.5943739319/38.20317852253,133.5980943298/38.20317852253,133.6018147278/38.20317852253,133.6055351257/38.20317852253,133.6092555237/38.20317852253,133.6129759216/38.20317852253,133.6166963196/38.20317852253,133.6204167175/38.20317852253,133.6241371155/38.20317852253,133.6278575134/38.20317852253,133.6315779114/38.20317852253
133.4492784119/38.20577467985,133.4529988098/38.20577467985,133.4567192078/38.20577467985,133.4604396057/38.20577467985,133.4641600037/38.20577467985,133.4678804016/38.20577467985,133.4716007996/38.20577467985,133.4753211975/38.20577467985,133.4790415955/38.20577467985,133.4827619934/38.20577467985,133.4864823914/38.20577467985,133.4902027893/38.20577467985,133.4939231873/38.20577467985,133.4976435852/38.20577467985,133.5013639832/38.20577467985,133.5050843811/38.20577467985,133.5088047791/38.20577467985,133.512525177/38.20577467985,133.516245575/38.20577467985,133.5199659729/38.20577467985,133.5236863708/38.20577467985,133.5274067688/38.20577467985,133.5311271667/38.20577467985,133.5348475647/38.20577467985,133.5385679626/38.20577467985,133.5422883606/38.20577467985,133.5460087585/38.20577467985,133.5497291565/38.20577467985,133.5534495544/38.20577467985,133.5571699524/38.20577467985,133.5608903503/38.20577467985,133.5646107483/38.20577467985,133.5683311462/38.20577467985,133.5720515442/38.20577467985,133.5757719421/38.20577467985,133.5794923401/38.20577467985,133.583212738/38.20577467985,133.586933136/38.20577467985,133.5906535339/38.20577467985,133.5943739319/38.20577467985,133.5980943298/38.20577467985,133.6018147278/38.20577467985,133.6055351257/38.20577467985,133.6092555237/38.20577467985,133.6129759216/38.20577467985,133.6166963196/38.20577467985,133.6204167175/38.20577467985,133.6241371155/38.20577467985,133.6278575134/38.20577467985,133.6315779114/38.20577467985
133.4492784119/38.20837074458,133.4529988098/38.20837074458,133.4567192078/38.20837074458,133.4604396057/38.20837074458,133.4641600037/38.20837074458,133.4678804016/38.20837074458,133.4716007996/38.20837074458,133.4753211975/38.20837074458,133.4790415955/38.20837074458,133.4827619934/38.20837074458,133.4864823914/38.20837074458,133.4902027893/38.20837074458,133.4939231873/38.20837074458,133.4976435852/38.20837074458,133.5013639832/38.20837074458,133.5050843811/38.20837074458,133.5088047791/38.20837074458,133.512525177/38.20837074458,133.516245575/38.20837074458,133.5199659729/38.20837074458,133.5236863708/38.20837074458,133.5274067688/38.20837074458,133.5311271667/38.20837074458,133.5348475647/38.20837074458,133.5385679626/38.20837074458,133.5422883606/38.20837074458,133.5460087585/38.20837074458,133.5497291565/38.20837074458,133.5534495544/38.20837074458,133.5571699524/38.20837074458,133.5608903503/38.20837074458,133.5646107483/38.20837074458,133.5683311462/38.20837074458,133.5720515442/38.20837074458,133.5757719421/38.20837074458,133.5794923401/38.20837074458,133.583212738/38.20837074458,133.586933136/38.20837074458,133.5906535339/38.20837074458,133.5943739319/38.20837074458,133.5980943298/38.20837074458,133.6018147278/38.20837074458,133.6055351257/38.20837074458,133.6092555237/38.20837074458,133.6129759216/38.20837074458,133.6166963196/38.20837074458,133.6204167175/38.20837074458,133.6241371155/38.20837074458,133.6278575134/38.20837074458,133.6315779114/38.20837074458
133.4492784119/38.21096671673,133.4529988098/38.21096671673,133.4567192078/38.21096671673,133.4604396057/38.21096671673,133.4641600037/38.21096671673,133.4678804016/38.21096671673,133.4716007996/38.21096671673,133.4753211975/38.21096671673,133.4790415955/38.21096671673,133.4827619934/38.21096671673,133.4864823914/38.21096671673,133.4902027893/38.21096671673,133.4939231873/38.21096671673,133.4976435852/38.21096671673,133.5013639832/38.21096671673,133.5050843811/38.21096671673,133.5088047791/38.21096671673,133.512525177/38.21096671673,133.516245575/38.21096671673,133.5199659729/38.21096671673,133.5236863708/38.21096671673,133.5274067688/38.21096671673,133.5311271667/38.21096671673,133.5348475647/38.21096671673,133.5385679626/38.21096671673,133.5422883606/38.21096671673,133.5460087585/38.21096671673,133.5497291565/38.21096671673,133.5534495544/38.21096671673,133.5571699524/38.21096671673,133.5608903503/38.21096671673,133.5646107483/38.21096671673,133.5683311462/38.21096671673,133.5720515442/38.21096671673,133.5757719421/38.21096671673,133.5794923401/38.21096671673,133.583212738/38.21096671673,133.586933136/38.21096671673,133.5906535339/38.21096671673,133.5943739319/38.21096671673,133.5980943298/38.21096671673,133.6018147278/38.21096671673,133.6055351257/38.21096671673,133.6092555237/38.21096671673,133.6129759216/38.21096671673,133.6166963196/38.21096671673,133.6204167175/38.21096671673,133.6241371155/38.21096671673,133.6278575134/38.21096671673,133.6315779114/38.21096671673
133.4492784119/38.21356259628,133.4529988098/38.21356259628,133.4567192078/38.21356259628,133.4604396057/38.21356259628,133.4641600037/38.21356259628,133.4678804016/38.21356259628,133.4716007996/38.21356259628,133.4753211975/38.21356259628,133.4790415955/38.21356259628,133.4827619934/38.21356259628,133.4864823914/38.21356259628,133.4902027893/38.21356259628,133.4939231873/38.21356259628,133.4976435852/38.21356259628,133.5013639832/38.21356259628,133.5050843811/38.21356259628,133.5088047791/38.21356259628,133.512525177/38.21356259628,133.516245575/38.21356259628,133.5199659729/38.21356259628,133.5236863708/38.21356259628,133.5274067688/38.21356259628,133.5311271667/38.21356259628,133.5348475647/38.21356259628,133.5385679626/38.21356259628,133.5422883606/38.21356259628,133.5460087585/38.21356259628,133.5497291565/38.21356259628,133.5534495544/38.21356259628,133.5571699524/38.21356259628,133.5608903503/38.21356259628,133.5646107483/38.21356259628,133.5683311462/38.21356259628,133.5720515442/38.21356259628,133.5757719421/38.21356259628,133.5794923401/38.21356259628,133.583212738/38.21356259628,133.586933136/38.21356259628,133.5906535339/38.21356259628,133.5943739319/38.21356259628,133.5980943298/38.21356259628,133.6018147278/38.21356259628,133.6055351257/38.21356259628,133.6092555237/38.21356259628,133.6129759216/38.21356259628,133.6166963196/38.21356259628,133.6204167175/38.21356259628,133.6241371155/38.21356259628,133.6278575134/38.21356259628,133.6315779114/38.21356259628
133.4492784119/38.21615838324,133.4529988098/38.21615838324,133.4567192078/38.21615838324,133.4604396057/38.21615838324,133.4641600037/38.21615838324,133.4678804016/38.21615838324,133.4716007996/38.21615838324,133.4753211975/38.21615838324,133.4790415955/38.21615838324,133.4827619934/38.21615838324,133.4864823914/38.21615838324,133.4902027893/38.21615838324,133.4939231873/38.21615838324,133.4976435852/38.21615838324,133.5013639832/38.21615838324,133.5050843811/38.21615838324,133.5088047791/38.21615838324,133.512525177/38.21615838324,133.516245575/38.21615838324,133.5199659729/38.21615838324,133.5236863708/38.21615838324,133.5274067688/38.21615838324,133.5311271667/38.21615838324,133.5348475647/38.21615838324,133.5385679626/38.21615838324,133.5422883606/38.21615838324,133.5460087585/38.21615838324,133.5497291565/38.21615838324,133.5534495544/38.21615838324,133.5571699524/38.21615838324,133.5608903503/38.21615838324,133.5646107483/38.21615838324,133.5683311462/38.21615838324,133.5720515442/38.21615838324,133.5757719421/38.21615838324,133.5794923401/38.21615838324,133.583212738/38.21615838324,133.586933136/38.21615838324,133.5906535339/38.21615838324,133.5943739319/38.21615838324,133.5980943298/38.21615838324,133.6018147278/38.21615838324,133.6055351257/38.21615838324,133.6092555237/38.21615838324,133.6129759216/38.21615838324,133.6166963196/38.21615838324,133.6204167175/38.21615838324,133.6241371155/38.21615838324,133.6278575134/38.21615838324,133.6315779114/38.21615838324
133.4492784119/38.21875407761,133.4529988098/38.21875407761,133.4567192078/38.21875407761,133.4604396057/38.21875407761,133.4641600037/38.21875407761,133.4678804016/38.21875407761,133.4716007996/38.21875407761,133.4753211975/38.21875407761,133.4790415955/38.21875407761,133.4827619934/38.21875407761,133.4864823914/38.21875407761,133.4902027893/38.21875407761,133.4939231873/38.21875407761,133.4976435852/38.21875407761,133.5013639832/38.21875407761,133.5050843811/38.21875407761,133.5088047791/38.21875407761,133.512525177/38.21875407761,133.516245575/38.21875407761,133.5199659729/38.21875407761,133.5236863708/38.21875407761,133.5274067688/38.21875407761,133.5311271667/38.21875407761,133.5348475647/38.21875407761,133.5385679626/38.21875407761,133.5422883606/38.21875407761,133.5460087585/38.21875407761,133.5497291565/38.21875407761,133.5534495544/38.21875407761,133.5571699524/38.21875407761,133.5608903503/38.21875407761,133.5646107483/38.21875407761,133.5683311462/38.21875407761,133.5720515442/38.21875407761,133.5757719421/38.21875407761,133.5794923401/38.21875407761,133.583212738/38.21875407761,133.586933136/38.21875407761,133.5906535339/38.21875407761,133.5943739319/38.21875407761,133.5980943298/38.21875407761,133.6018147278/38.21875407761,133.6055351257/38.21875407761,133.6092555237/38.21875407761,133.6129759216/38.21875407761,133.6166963196/38.21875407761,133.6204167175/38.21875407761,133.6241371155/38.21875407761,133.6278575134/38.21875407761,133.6315779114/38.21875407761
133.4492784119/38.22134967938,133.4529988098/38.22134967938,133.4567192078/38.22134967938,133.4604396057/38.22134967938,133.4641600037/38.22134967938,133.4678804016/38.22134967938,133.4716007996/38.22134967938,133.4753211975/38.22134967938,133.4790415955/38.22134967938,133.4827619934/38.22134967938,133.4864823914/38.22134967938,133.4902027893/38.22134967938,133.4939231873/38.22134967938,133.4976435852/38.22134967938,133.5013639832/38.22134967938,133.5050843811/38.22134967938,133.5088047791/38.22134967938,133.512525177/38.22134967938,133.516245575/38.22134967938,133.5199659729/38.22134967938,133.5236863708/38.22134967938,133.5274067688/38.22134967938,133.5311271667/38.22134967938,133.5348475647/38.22134967938,133.5385679626/38.22134967938,133.5422883606/38.22134967938,133.5460087585/38.22134967938,133.5497291565/38.22134967938,133.5534495544/38.22134967938,133.5571699524/38.22134967938,133.5608903503/38.22134967938,133.5646107483/38.22134967938,133.5683311462/38.22134967938,133.5720515442/38.22134967938,133.5757719421/38.22134967938,133.5794923401/38.22134967938,133.583212738/38.22134967938,133.586933136/38.22134967938,133.5906535339/38.22134967938,133.5943739319/38.22134967938,133.5980943298/38.22134967938,133.6018147278/38.22134967938,133.6055351257/38.22134967938,133.6092555237/38.22134967938,133.6129759216/38.22134967938,133.6166963196/38.22134967938,133.6204167175/38.22134967938,133.6241371155/38.22134967938,133.6278575134/38.22134967938,133.6315779114/38.22134967938
133.4492784119/38.22394518856,133.4529988098/38.22394518856,133.4567192078/38.22394518856,133.4604396057/38.22394518856,133.4641600037/38.22394518856,133.4678804016/38.22394518856,133.4716007996/38.22394518856,133.4753211975/38.22394518856,133.4790415955/38.22394518856,133.4827619934/38.22394518856,133.4864823914/38.22394518856,133.4902027893/38.22394518856,133.4939231873/38.22394518856,133.4976435852/38.22394518856,133.5013639832/38.22394518856,133.5050843811/38.22394518856,133.5088047791/38.22394518856,133.512525177/38.22394518856,133.516245575/38.22394518856,133.5199659729/38.22394518856,133.5236863708/38.22394518856,133.5274067688/38.22394518856,133.5311271667/38.22394518856,133.5348475647/38.22394518856,133.5385679626/38.22394518856,133.5422883606/38.22394518856,133.5460087585/38.22394518856,133.5497291565/38.22394518856,133.5534495544/38.22394518856,133.5571699524/38.22394518856,133.5608903503/38.22394518856,133.5646107483/38.22394518856,133.5683311462/38.22394518856,133.5720515442/38.22394518856,133.5757719421/38.22394518856,133.5794923401/38.22394518856,133.583212738/38.22394518856,133.586933136/38.22394518856,133.5906535339/38.22394518856,133.5943739319/38.22394518856,133.5980943298/38.22394518856,133.6018147278/38.22394518856,133.6055351257/38.22394518856,133.6092555237/38.22394518856,133.6129759216/38.22394518856,133.6166963196/38.22394518856,133.6204167175/38.22394518856,133.6241371155/38.22394518856,133.6278575134/38.22394518856,133.6315779114/38.22394518856
133.4492784119/38.22654060513,133.4529988098/38.22654060513,133.4567192078/38.22654060513,133.4604396057/38.22654060513,133.4641600037/38.22654060513,133.4678804016/38.22654060513,133.4716007996/38.22654060513,133.4753211975/38.22654060513,133.4790415955/38.22654060513,133.4827619934/38.22654060513,133.4864823914/38.22654060513,133.4902027893/38.22654060513,133.4939231873/38.22654060513,133.4976435852/38.22654060513,133.5013639832/38.22654060513,133.5050843811/38.22654060513,133.5088047791/38.22654060513,133.512525177/38.22654060513,133.516245575/38.22654060513,133.5199659729/38.22654060513,133.5236863708/38.22654060513,133.5274067688/38.22654060513,133.5311271667/38.22654060513,133.5348475647/38.22654060513,133.5385679626/38.22654060513,133.5422883606/38.22654060513,133.5460087585/38.22654060513,133.5497291565/38.22654060513,133.5534495544/38.22654060513,133.5571699524/38.22654060513,133.5608903503/38.22654060513,133.5646107483/38.22654060513,133.5683311462/38.22654060513,133.5720515442/38.22654060513,133.5757719421/38.22654060513,133.5794923401/38.22654060513,133.583212738/38.22654060513,133.586933136/38.22654060513,133.5906535339/38.22654060513,133.5943739319/38.22654060513,133.5980943298/38.22654060513,133.6018147278/38.22654060513,133.6055351257/38.22654060513,133.6092555237/38.22654060513,133.6129759216/38.22654060513,133.6166963196/38.22654060513,133.6204167175/38.22654060513,133.6241371155/38.22654060513,133.6278575134/38.22654060513,133.6315779114/38.22654060513
133.4492784119/38.2291359291,133.4529988098/38.2291359291,133.4567192078/38.2291359291,133.4604396057/38.2291359291,133.4641600037/38.2291359291,133.4678804016/38.2291359291,133.4716007996/38.2291359291,133.4753211975/38.2291359291,133.4790415955/38.2291359291,133.4827619934/38.2291359291,133.4864823914/38.2291359291,133.4902027893/38.2291359291,133.4939231873/38.2291359291,133.4976435852/38.2291359291,133.5013639832/38.2291359291,133.5050843811/38.2291359291,133.5088047791/38.2291359291,133.512525177/38.2291359291,133.516245575/38.2291359291,133.5199659729/38.2291359291,133.5236863708/38.2291359291,133.5274067688/38.2291359291,133.5311271667/38.2291359291,133.5348475647/38.2291359291,133.5385679626/38.2291359291,133.5422883606/38.2291359291,133.5460087585/38.2291359291,133.5497291565/38.2291359291,133.5534495544/38.2291359291,133.5571699524/38.2291359291,133.5608903503/38.2291359291,133.5646107483/38.2291359291,133.5683311462/38.2291359291,133.5720515442/38.2291359291,133.5757719421/38.2291359291,133.5794923401/38.2291359291,133.583212738/38.2291359291,133.586933136/38.2291359291,133.5906535339/38.2291359291,133.5943739319/38.2291359291,133.5980943298/38.2291359291,133.6018147278/38.2291359291,133.6055351257/38.2291359291,133.6092555237/38.2291359291,133.6129759216/38.2291359291,133.6166963196/38.2291359291,133.6204167175/38.2291359291,133.6241371155/38.2291359291,133.6278575134/38.2291359291,133.6315779114/38.2291359291
133.4492784119/38.23173116047,133.4529988098/38.23173116047,133.4567192078/38.23173116047,133.4604396057/38.23173116047,133.4641600037/38.23173116047,133.4678804016/38.23173116047,133.4716007996/38.23173116047,133.4753211975/38.23173116047,133.4790415955/38.23173116047,133.4827619934/38.23173116047,133.4864823914/38.23173116047,133.4902027893/38.23173116047,133.4939231873/38.23173116047,133.4976435852/38.23173116047,133.5013639832/38.23173116047,133.5050843811/38.23173116047,133.5088047791/38.23173116047,133.512525177/38.23173116047,133.516245575/38.23173116047,133.5199659729/38.23173116047,133.5236863708/38.23173116047,133.5274067688/38.23173116047,133.5311271667/38.23173116047,133.5348475647/38.23173116047,133.5385679626/38.23173116047,133.5422883606/38.23173116047,133.5460087585/38.23173116047,133.5497291565/38.23173116047,133.5534495544/38.23173116047,133.5571699524/38.23173116047,133.5608903503/38.23173116047,133.5646107483/38.23173116047,133.5683311462/38.23173116047,133.5720515442/38.23173116047,133.5757719421/38.23173116047,133.5794923401/38.23173116047,133.583212738/38.23173116047,133.586933136/38.23173116047,133.5906535339/38.23173116047,133.5943739319/38.23173116047,133.5980943298/38.23173116047,133.6018147278/38.23173116047,133.6055351257/38.23173116047,133.6092555237/38.23173116047,133.6129759216/38.23173116047,133.6166963196/38.23173116047,133.6204167175/38.23173116047,133.6241371155/38.23173116047,133.6278575134/38.23173116047,133.6315779114/38.23173116047
133.4492784119/38.23432629923,133.4529988098/38.23432629923,133.4567192078/38.23432629923,133.4604396057/38.23432629923,133.4641600037/38.23432629923,133.4678804016/38.23432629923,133.4716007996/38.23432629923,133.4753211975/38.23432629923,133.4790415955/38.23432629923,133.4827619934/38.23432629923,133.4864823914/38.23432629923,133.4902027893/38.23432629923,133.4939231873/38.23432629923,133.4976435852/38.23432629923,133.5013639832/38.23432629923,133.5050843811/38.23432629923,133.5088047791/38.23432629923,133.512525177/38.23432629923,133.516245575/38.23432629923,133.5199659729/38.23432629923,133.5236863708/38.23432629923,133.5274067688/38.23432629923,133.5311271667/38.23432629923,133.5348475647/38.23432629923,133.5385679626/38.23432629923,133.5422883606/38.23432629923,133.5460087585/38.23432629923,133.5497291565/38.23432629923,133.5534495544/38.23432629923,133.5571699524/38.23432629923,133.5608903503/38.23432629923,133.5646107483/38.23432629923,133.5683311462/38.23432629923,133.5720515442/38.23432629923,133.5757719421/38.23432629923,133.5794923401/38.23432629923,133.583212738/38.23432629923,133.586933136/38.23432629923,133.5906535339/38.23432629923,133.5943739319/38.23432629923,133.5980943298/38.23432629923,133.6018147278/38.23432629923,133.6055351257/38.23432629923,133.6092555237/38.23432629923,133.6129759216/38.23432629923,133.6166963196/38.23432629923,133.6204167175/38.23432629923,133.6241371155/38.23432629923,133.6278575134/38.23432629923,133.6315779114/38.23432629923
133.4492784119/38.23692134538,133.4529988098/38.23692134538,133.4567192078/38.23692134538,133.4604396057/38.23692134538,133.4641600037/38.23692134538,133.4678804016/38.23692134538,133.4716007996/38.23692134538,133.4753211975/38.23692134538,133.4790415955/38.23692134538,133.4827619934/38.23692134538,133.4864823914/38.23692134538,133.4902027893/38.23692134538,133.4939231873/38.23692134538,133.4976435852/38.23692134538,133.5013639832/38.23692134538,133.5050843811/38.23692134538,133.5088047791/38.23692134538,133.512525177/38.23692134538,133.516245575/38.23692134538,133.5199659729/38.23692134538,133.5236863708/38.23692134538,133.5274067688/38.23692134538,133.5311271667/38.23692134538,133.5348475647/38.23692134538,133.5385679626/38.23692134538,133.5422883606/38.23692134538,133.5460087585/38.23692134538,133.5497291565/38.23692134538,133.5534495544/38.23692134538,133.5571699524/38.23692134538,133.5608903503/38.23692134538,133.5646107483/38.23692134538,133.5683311462/38.23692134538,133.5720515442/38.23692134538,133.5757719421/38.23692134538,133.5794923401/38.23692134538,133.583212738/38.23692134538,133.586933136/38.23692134538,133.5906535339/38.23692134538,133.5943739319/38.23692134538,133.5980943298/38.23692134538,133.6018147278/38.23692134538,133.6055351257/38.23692134538,133.6092555237/38.23692134538,133.6129759216/38.23692134538,133.6166963196/38.23692134538,133.6204167175/38.23692134538,133.6241371155/38.23692134538,133.6278575134/38.23692134538,133.6315779114/38.23692134538
133.4492784119/38.23951629892,133.4529988098/38.23951629892,133.4567192078/38.23951629892,133.4604396057/38.23951629892,133.4641600037/38.23951629892,133.4678804016/38.23951629892,133.4716007996/38.23951629892,133.4753211975/38.23951629892,133.4790415955/38.23951629892,133.4827619934/38.23951629892,133.4864823914/38.23951629892,133.4902027893/38.23951629892,133.4939231873/38.23951629892,133.4976435852/38.23951629892,133.5013639832/38.23951629892,133.5050843811/38.23951629892,133.5088047791/38.23951629892,133.512525177/38.23951629892,133.516245575/38.23951629892,133.5199659729/38.23951629892,133.5236863708/38.23951629892,133.5274067688/38.23951629892,133.5311271667/38.23951629892,133.5348475647/38.23951629892,133.5385679626/38.23951629892,133.5422883606/38.23951629892,133.5460087585/38.23951629892,133.5497291565/38.23951629892,133.5534495544/38.23951629892,133.5571699524/38.23951629892,133.5608903503/38.23951629892,133.5646107483/38.23951629892,133.5683311462/38.23951629892,133.5720515442/38.23951629892,133.5757719421/38.23951629892,133.5794923401/38.23951629892,133.583212738/38.23951629892,133.586933136/38.23951629892,133.5906535339/38.23951629892,133.5943739319/38.23951629892,133.5980943298/38.23951629892,133.6018147278/38.23951629892,133.6055351257/38.23951629892,133.6092555237/38.23951629892,133.6129759216/38.23951629892,133.6166963196/38.23951629892,133.6204167175/38.23951629892,133.6241371155/38.23951629892,133.6278575134/38.23951629892,133.6315779114/38.23951629892
133.4492784119/38.24211115985,133.4529988098/38.24211115985,133.4567192078/38.24211115985,133.4604396057/38.24211115985,133.4641600037/38.24211115985,133.4678804016/38.24211115985,133.4716007996/38.24211115985,133.4753211975/38.24211115985,133.4790415955/38.24211115985,133.4827619934/38.24211115985,133.4864823914/38.24211115985,133.4902027893/38.24211115985,133.4939231873/38.24211115985,133.4976435852/38.24211115985,133.5013639832/38.24211115985,133.5050843811/38.24211115985,133.5088047791/38.24211115985,133.512525177/38.24211115985,133.516245575/38.24211115985,133.5199659729/38.24211115985,133.5236863708/38.24211115985,133.5274067688/38.24211115985,133.5311271667/38.24211115985,133.5348475647/38.24211115985,133.5385679626/38.24211115985,133.5422883606/38.24211115985,133.5460087585/38.24211115985,133.5497291565/38.24211115985,133.5534495544/38.24211115985,133.5571699524/38.24211115985,133.5608903503/38.24211115985,133.5646107483/38.24211115985,133.5683311462/38.24211115985,133.5720515442/38.24211115985,133.5757719421/38.24211115985,133.5794923401/38.24211115985,133.583212738/38.24211115985,133.586933136/38.24211115985,133.5906535339/38.24211115985,133.5943739319/38.24211115985,133.5980943298/38.24211115985,133.6018147278/38.24211115985,133.6055351257/38.24211115985,133.6092555237/38.24211115985,133.6129759216/38.24211115985,133.6166963196/38.24211115985,133.6204167175/38.24211115985,133.6241371155/38.24211115985,133.6278575134/38.24211115985,133.6315779114/38.24211115985
133.4492784119/38.24470592816,133.4529988098/38.24470592816,133.4567192078/38.24470592816,133.4604396057/38.24470592816,133.4641600037/38.24470592816,133.4678804016/38.24470592816,133.4716007996/38.24470592816,133.4753211975/38.24470592816,133.4790415955/38.24470592816,133.4827619934/38.24470592816,133.4864823914/38.24470592816,133.4902027893/38.24470592816,133.4939231873/38.24470592816,133.4976435852/38.24470592816,133.5013639832/38.24470592816,133.5050843811/38.24470592816,133.5088047791/38.24470592816,133.512525177/38.24470592816,133.516245575/38.24470592816,133.5199659729/38.24470592816,133.5236863708/38.24470592816,133.5274067688/38.24470592816,133.5311271667/38.24470592816,133.5348475647/38.24470592816,133.5385679626/38.24470592816,133.5422883606/38.24470592816,133.5460087585/38.24470592816,133.5497291565/38.24470592816,133.5534495544/38.24470592816,133.5571699524/38.24470592816,133.5608903503/38.24470592816,133.5646107483/38.24470592816,133.5683311462/38.24470592816,133.5720515442/38.24470592816,133.5757719421/38.24470592816,133.5794923401/38.24470592816,133.583212738/38.24470592816,133.586933136/38.24470592816,133.5906535339/38.24470592816,133.5943739319/38.24470592816,133.5980943298/38.24470592816,133.6018147278/38.24470592816,133.6055351257/38.24470592816,133.6092555237/38.24470592816,133.6129759216/38.24470592816,133.6166963196/38.24470592816,133.6204167175/38.24470592816,133.6241371155/38.24470592816,133.6278575134/38.24470592816,133.6315779114/38.24470592816
